,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
cf_mu,1.635,0.216,1.217,2.011,0.014,0.008,227.0,434.0,1.01
cf_sigma,0.252,0.147,0.065,0.527,0.015,0.007,83.0,76.0,1.01
w,0.136,0.066,0.02,0.249,0.006,0.007,199.0,106.0,1.01
sigma_obs,0.052,0.008,0.039,0.067,0.0,0.0,444.0,336.0,1.0
