,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
cf_mu,0.587,0.196,0.207,0.952,0.013,0.008,228.0,437.0,1.01
cf_sigma,0.283,0.162,0.075,0.584,0.017,0.01,102.0,252.0,1.02
w,0.136,0.082,0.009,0.283,0.004,0.002,584.0,1807.0,1.0
sigma_obs,1.11,0.135,0.875,1.381,0.005,0.003,829.0,853.0,1.0
