year,team,actual_W,W_marcel,W_stan,err_marcel,err_stan
2022,DeNA,73,72.75574910464283,73.61322567440487,-0.24425089535716893,0.6132256744048732
2022,オリックス,76,75.35677244846285,75.27251087061921,-0.6432275515371515,-0.7274891293807855
2022,ソフトバンク,76,68.52695038931336,70.62302838694896,-7.473049610686644,-5.37697161305104
2022,ヤクルト,80,55.90979061175527,55.59263801710188,-24.09020938824473,-24.407361982898117
2022,ロッテ,69,56.54308029865808,54.902643932038046,-12.456919701341917,-14.097356067961954
2022,中日,66,65.16384951541174,64.83767466773142,-0.8361504845882592,-1.1623253322685798
2022,巨人,68,100.55598577805422,100.1840184537999,32.55598577805422,32.184018453799894
2022,広島,66,81.55865142367121,81.46415003300834,15.558651423671208,15.464150033008337
2022,日本ハム,59,76.32620732551874,76.73213537031644,17.326207325518737,17.732135370316442
2022,楽天,69,72.52630982519992,72.54121230635832,3.5263098251999168,3.541212306358318
2022,西武,72,60.71978335606453,62.03191636938843,-11.280216643935468,-9.968083630611567
2022,阪神,68,77.5145947792202,75.8808554392945,9.514594779220204,7.880855439294507
2023,DeNA,74,61.79021299259073,63.36206140029771,-12.209787007409268,-10.637938599702288
2023,オリックス,86,72.0595432693385,72.83072069609126,-13.940456730661495,-13.169279303908738
2023,ソフトバンク,71,78.091770901904,80.1118526415086,7.091770901903999,9.111852641508605
2023,ヤクルト,57,72.36450568447216,70.8550648006289,15.364505684472164,13.855064800628895
2023,ロッテ,70,92.89933063507023,93.7941391208381,22.89933063507023,23.794139120838096
2023,中日,56,62.829818260289144,63.61355075838405,6.829818260289144,7.613550758384051
2023,巨人,71,87.898501659605,85.76267428636048,16.898501659605003,14.762674286360479
2023,広島,74,73.73501785278981,72.96813344002818,-0.26498214721019053,-1.0318665599718173
2023,日本ハム,60,61.98959556026537,61.09089550955246,1.9895955602653714,1.0908955095524604
2023,楽天,70,55.7877318460252,55.242504652112785,-14.212268153974797,-14.757495347887215
2023,西武,65,58.14757767258135,58.92013587699919,-6.852422327418651,-6.07986412300081
2023,阪神,85,91.91864233289553,91.44708193751288,6.91864233289553,6.447081937512877
2024,DeNA,71,82.8720424952688,83.41356549198483,11.8720424952688,12.413565491984826
2024,オリックス,63,66.87043113077404,66.7814991861264,3.870431130774037,3.7814991861263962
2024,ソフトバンク,91,66.78952242091226,67.87358933229346,-24.210477579087737,-23.126410667706537
2024,ヤクルト,62,53.39199201875305,51.65703600021866,-8.60800798124695,-10.34296399978134
2024,ロッテ,71,57.61158578694947,58.36207542610125,-13.388414213050531,-12.63792457389875
2024,中日,60,50.8054213760852,51.68664033620785,-9.1945786239148,-8.313359663792149
2024,巨人,77,82.10224322337783,82.57753935864568,5.102243223377826,5.57753935864568
2024,広島,68,80.88307616295894,80.14117679736293,12.883076162958943,12.141176797362931
2024,日本ハム,75,63.78586805872658,63.49088371024295,-11.214131941273422,-11.509116289757053
2024,楽天,67,83.4141317206475,82.48957915518766,16.414131720647504,15.489579155187656
2024,西武,49,82.13806827389722,84.10465320287328,33.13806827389722,35.10465320287328
2024,阪神,74,85.66075955407835,84.46222709930427,11.660759554078354,10.462227099304272
2025,DeNA,71,79.43030810744162,79.49116256595886,8.430308107441618,8.49116256595886
2025,オリックス,74,100.78334929247946,101.42050877311051,26.783349292479457,27.420508773110512
2025,ソフトバンク,87,88.08125856482052,89.03993343510307,1.0812585648205157,2.039933435103066
2025,ヤクルト,57,50.15534058817225,49.278528955698,-6.844659411827749,-7.721471044302
2025,ロッテ,56,63.82838181935336,66.7359610188641,7.8283818193533605,10.735961018864103
2025,中日,63,59.98989854686981,60.46969064128658,-3.01010145313019,-2.530309358713417
2025,巨人,70,71.84055364769429,72.25743685508601,1.8405536476942927,2.257436855086013
2025,広島,59,48.41374201176048,47.45179142989598,-10.586257988239517,-11.548208570104023
2025,日本ハム,83,86.90484693871176,86.27355766387703,3.9048469387117564,3.2735576638770283
2025,楽天,67,57.22684848980776,56.61074185594186,-9.773151510192243,-10.38925814405814
2025,西武,63,62.15636548664067,62.499951348477715,-0.8436345133593335,-0.5000486515222846
2025,阪神,85,88.66527754726185,87.15736958602213,3.6652775472618515,2.157369586022128
